ExperimentID,UserID,VideoID,Activity,StartResolution,EndResolution,Gender,Personality,SI,TI,Cluster,Glasses
17,330,12,Sitting,360,1080,Male,Agreeableness,38.861,36.951,01001,1
17,330,13,Sitting,360,1080,Male,Agreeableness,138.691,8.303,01001,1
17,330,14,Sitting,360,1080,Male,Agreeableness,136.498,28.59,01001,1
17,330,21,Walking,360,720,Male,Agreeableness,14.343,3.491,01001,1
17,330,22,Walking,360,480,Male,Agreeableness,40.179,38.442,01001,1
17,330,23,Walking,360,1080,Male,Agreeableness,117.562,6.145,01001,1
17,330,24,Walking,360,720,Male,Agreeableness,118.669,26.814,01001,1
17,330,31,Running,360,720,Male,Agreeableness,41.164,1.424,01001,1
17,330,32,Running,360,720,Male,Agreeableness,40.308,31.631,01001,1
17,330,33,Running,360,720,Male,Agreeableness,123.356,8.147,01001,1
17,330,34,Running,360,480,Male,Agreeableness,138.758,37.133,01001,1
18,331,11,Sitting,360,720,Female,Openness,8.778,3.687,01101,0
18,331,12,Sitting,360,480,Female,Openness,38.861,36.951,01101,0
18,331,13,Sitting,360,360,Female,Openness,138.691,8.303,01101,0
18,331,14,Sitting,360,360,Female,Openness,136.498,28.59,01101,0
18,331,21,Walking,360,720,Female,Openness,14.343,3.491,01101,0
18,331,22,Walking,360,480,Female,Openness,40.179,38.442,01101,0
18,331,23,Walking,360,480,Female,Openness,117.562,6.145,01101,0
18,331,24,Walking,360,720,Female,Openness,118.669,26.814,01101,0
18,331,31,Running,360,720,Female,Openness,41.164,1.424,01101,0
18,331,32,Running,360,720,Female,Openness,40.308,31.631,01101,0
18,331,33,Running,360,480,Female,Openness,123.356,8.147,01101,0
18,331,34,Running,360,480,Female,Openness,138.758,37.133,01101,0
19,340,11,Sitting,360,1080,Male,Extraversion,8.778,3.687,11111,1
19,340,12,Sitting,360,720,Male,Extraversion,38.861,36.951,11111,1
19,340,13,Sitting,360,1080,Male,Extraversion,138.691,8.303,11111,1
19,340,14,Sitting,360,1080,Male,Extraversion,136.498,28.59,11111,1
19,340,21,Walking,360,720,Male,Extraversion,14.343,3.491,11111,1
19,340,22,Walking,360,480,Male,Extraversion,40.179,38.442,11111,1
19,340,23,Walking,360,720,Male,Extraversion,117.562,6.145,11111,1
19,340,24,Walking,360,1080,Male,Extraversion,118.669,26.814,11111,1
19,340,31,Running,360,360,Male,Extraversion,41.164,1.424,11111,1
19,340,32,Running,360,480,Male,Extraversion,40.308,31.631,11111,1
19,340,33,Running,360,480,Male,Extraversion,123.356,8.147,11111,1
19,340,34,Running,360,480,Male,Extraversion,138.758,37.133,11111,1
20,110,11,Sitting,360,1080,Female,Neuroticism,8.778,3.687,10111,0
20,110,12,Sitting,360,1080,Female,Neuroticism,38.861,36.951,10111,0
