#TITLE                                                                                                          #AVG_SI     #STD_SI    #AVG_TI   #STD_TI     
READYPLAYERONEFinalTrailer20181080p.mp4                                                                         33.213      12.359     15.952    11.997
DOCTORSTRANGEFeaturetteTravelMultiverse2016BenedictCumberbatchMarvelMovieHD1080p.mp4                            33.263      17.027     12.398    14.789
ALITABATTLEANGELOFFICIALHDTRAILER320191080p.mp4                                                                 33.677      16.735     9.692     10.315
JohnWickChapter3Parabellum2019MotorcycleFightScene712Movieclips1080p.mp4                                        33.696      6.683      22.999    7.251
ReadyPlayerOneDancingScene1080p.mp4                                                                             33.727      7.867      14.185    8.217
RorschachPrisonCellSceneWatchmen2009MovieClip4K1080p.mp4                                                        34.47       11.345     11.871    8.444
NASAUHDVideoStunningAuroraBorealisfromSpaceinUltraHighDefinition4K1080p.mp4                                     35.192      14.082     4.554     4.457
TronLegacyScene03EscapefromtheGrid1080p.mp4                                                                     35.484      13.349     22.76     13.73
TheDarkKnightRisesOfficialTrailer3HD1080p.mp4                                                                   35.711      39.98      9.393     11.265
MobyTheVoidPacificChoirInThisColdPlaceOfficialVideo1080p.mp4                                                    35.723      14.306     11.786    10.272
ReadyPlayerOne2018HDBattleOnPlanetDoomPart11080p.mp4                                                            35.797      7.293      16.637    11.491
THEWITCHERMAINTRAILERNETFLIX1080p.mp4                                                                           35.887      9.707      7.245     11.534
HotelTransylvania2in1Minute1080p.mp4                                                                            35.979      27.187     42.67     16.679
ATwistofFateCinematicLeagueofLegends1080p.mp4                                                                   36.123      36.801     11.144    11.009
WhyMeatistheBestWorstThingintheWorld1080p.mp4                                                                   36.157      13.527     9.447     9.239
FearOfTheDeer1080p.mp4                                                                                          36.572      19.165     12.512    9.039
SonicTheHedgehog2020NewOfficialTrailerParamountPictures1080p.mp4                                                36.649      14.204     16.35     14.576
Tron2010DiscWarsOnlyAction1080p1080p.mp4                                                                        36.738      12.647     12.015    10.495
AppleDontBlink1080p.mp4                                                                                         36.839      19.066     9.293     18.654
UCLAGymnastics2020IntroVideo1080p.mp4                                                                           37.035      22.5       22.004    16.199
TonesAndIDanceMonkeyKHSNiCoCover1080p.mp4                                                                       37.067      7.196      11.059    8.122
RageAgainstTheMachineTestifyLiveAtFinsburyParkLondon20101080p.mp4                                               37.709      19.648     19.033    12.452
TheIncrediblesDashsepicrun1080p.mp4                                                                             37.861      14.592     21.313    16.43
SplitLoveRudyMancusoMaiaMitchell1080p.mp4                                                                       37.986      18.46      14.363    14.145
DaisyRidleyRapsaRecapofAllEightStarWarsMoviesEpisodesIVIII1080p.mp4                                             38.436      7.614      11.984    4.353
LostBoyIceSkatingElenaRadionova1080p.mp4                                                                        38.44       7.015      19.552    8.315
WardrunaandAuroraHelvegenLive1080p.mp4                                                                          38.5        11.707     5.227     5.816
ApocalypticaEnterSandmanWithFullForceFestival20181080p.mp4                                                      38.852      15.953     15.43     12.004
GorillazStyloOfficialVideo1080p.mp4                                                                             38.892      13.366     25.314    14.657
DarkestHour2017WeShallFightontheBeachesScene1010Movieclips1080p.mp4                                             38.955      8.427      4.799     6.191
LilNasXPaniniOfficialVideo1080p.mp4                                                                             39.48       19.213     18.304    11.658
SupermanSurrendersSceneManofSteel2013MovieClip4K1080p.mp4                                                       39.875      10.649     7.693     7.791
FORDvFERRARIOfficialTrailer2HD20thCenturyFOX1080p.mp4                                                           40.081      17.465     12.856    15.229
EvgenyMosheninDanaSpitsyna2016GrandSlamFlashback1080p.mp4                                                       40.422      11.885     19.424    7.979
SupermanvsJusticeLeagueBehindTheScenes1080p.mp4                                                                 40.735      15.031     13.578    12.868
KOLDTheCreativeProcess1080p.mp4                                                                                 40.753      17.414     13.359    13.59
24oftheMostMesmerizingMachines1080p.mp4                                                                         40.848      21.43      19.86     9.097
LONDONCITYINMOTION1080p.mp4                                                                                     42.516      25.179     22.92     20.41
StarWarsUndercoverBossStarkillerBaseSNL1080p.mp4                                                                42.685      21.733     17.539    17.486
BankHeistJokerTheDarkKnightIMAX1080p.mp4                                                                        42.722      16.09      20.971    10.519
DeadpoolMaximumEffortHighwaySceneDeadpool2016MovieCLIPHD1080p.mp4                                               42.819      9.062      15.37     14.006
FirefightersScaleBuildingtoRescuePeopleFromFire1080p.mp4                                                        42.965      21.705     10.18     9.942
DarkSoulsIIITheFireFadesEditionOurCurseLaunchTrailerPS4XB11080p.mp4                                             43.026      32.559     12.933    12.869
ManofSteelFateofYourPlanetOfficialTrailerHD1080p.mp4                                                            43.106      49.193     19.654    23.698
PeakyBlindersSeries5TrailerBBC1080p.mp4                                                                         43.15       8.281      7.966     9.535
MirrorChildLookingGlassHorroranimationbyErikRosenlund1080p.mp4                                                  43.518      22.928     12.181    10.832
ItsRainingTacos2x4x8xUpTo5000xFaster1080p.mp4                                                                   43.704      23.877     15.549    16.743
AlexandraTRUSOVAUnstoppableExGalaSkateCanada2019FullHD1080p.mp4                                                 43.716      10.164     8.723     4.57
300OfficialTrailerHD1080p.mp4                                                                                   44.274      38.849     13.154    17.687
BestBreakdanceEverCompilation2016BBoyBattle1080p.mp4                                                            44.461      24.819     14.622    11.843
MUSEPanicStationOfficialVideo1080p.mp4                                                                          44.636      23.215     25.041    17.95
TheSecretProtocolforWhentheQueenDies1080p.mp4                                                                   44.718      35.935     5.644     7.186
DaftPunkLoseYourselftoDanceOfficialVersion1080p.mp4                                                             44.797      12.349     13.08     7.577
NowYouSeeMe22016DisappearingCardTrickScene611Movieclips1080p.mp4                                                45.027      9.921      20.243    11.321
LittleDemonTristanaArtSpotlightLeagueofLegends1080p.mp4                                                         45.116      7.923      2.857     7.768
TonskimojsternaRTVSlovenija1080p.mp4                                                                            45.895      27.103     17.061    15.733
FACESOFNYCNewYorkCityCinematicTravelFilm1080p.mp4                                                               45.93       19.172     32.819    21.657
TheDingles1080p.mp4                                                                                             46.154      23.087     9.144     10.234
BESTVIDEOTRANSITIONSYOUSHOULDKNOW21080p.mp4                                                                     46.43       20.397     16.456    18.523
TomJerryIsJerryTakingCareofTomClassicCartoonWBKids1080p.mp4                                                     46.453      10.103     13.129    10.105
DavidGogginsisamadmanJoeRoganandLexFridman1080p.mp4                                                             47.357      4.441      3.114     2.723
WhytheUSLandisBlocky1080p.mp4                                                                                   47.373      22.522     4.17      8.31
TorontoBostonDancersNBACheerleaders1080p.mp4                                                                    47.522      18.622     26.761    12.435
WhatisanauroraMichaelMolina1080p.mp4                                                                            47.732      24.545     14.171    14.113
8SecretsAirportStaffDontWantYoutoKnow1080p.mp4                                                                  47.776      15.44      18.734    24.107
UEFACHAMPIONSLEAGUEPROMO201820191080p.mp4                                                                       47.924      17.528     19.958    17.737
CrabRave2x4x8xUpTo5000xFASTER1080p.mp4                                                                          48.007      10.694     33.599    18.89
F12019Crashes1080p.mp4                                                                                          48.14       12.737     17.405    10.661
TheFastandTheFuriousTokyoDriftFinalRace1080p.mp4                                                                48.392      4.997      19.509    11.878
RammsteinParisDuHastOfficialVideo1080p.mp4                                                                      49.002      19.245     22.344    21.415
EulersFormulaPoem1080p.mp4                                                                                      49.051      14.115     3.972     5.207
FordvFerrariBestScenes1080p1080p.mp4                                                                            49.83       18.704     12.491    13.481
GunsNRosesSweetChildOMineOfficialMusicVideo1080p.mp4                                                            50.044      12.689     28.664    21.501
HowheavyisairDanQuinn1080p.mp4                                                                                  50.067      35.36      11.337    17.723
MYSLEEPINGKARMAPrithviOfficialVideoNapalmRecords1080p.mp4                                                       50.205      30.439     13.771    13.135
StephCurryDeepestThreesCompilation1080p.mp4                                                                     50.39       21.234     33.101    11.415
HowItsMadeRice1080p.mp4                                                                                         51.018      15.994     8.459     10.566
GorillazTranzOfficialVideo1080p.mp4                                                                             51.386      17.346     22.425    18.039
JackWhiteLazarettoVideo1080p.mp4                                                                                51.389      30.95      23.934    16.905
Whatahunt1080p.mp4                                                                                              51.585      23.958     10.428    10.715
IsWarOverAParadoxExplained1080p.mp4                                                                             51.788      15.03      6.749     9.073
Thetrickthatmadeanimationrealistic1080p.mp4                                                                     51.797      28.269     16.745    14.55
CHICAGOLUVABULLSChicagoBullsDancersAtlantaChicagoNBAPreseasonOctober1720191080p.mp4                             51.941      15.439     10.09     10.483
PostMaloneCircles1080p.mp4                                                                                      51.953      20.977     13.538    9.223
WhyispovertyrisinginJapanCNBCExplains1080p.mp4                                                                  52.42       14.169     11.979    11.111
BeatSaberCustomSongMyDemonsStarset1080p.mp4                                                                     52.499      9.874      21.17     8.78
CharlieChaplinFactorySceneModernTimes19361080p.mp4                                                              52.565      9.445      16.619    9.604
HowtoTrainYourDragon2010HiccupsFinalTestScene710Movieclips1080p.mp4                                             52.955      11.901     15.757    13.001
SolutiontotheGrandfatherParadox1080p.mp4                                                                        53.195      19.671     8.256     16.859
NightoftheNorthernLights1080p.mp4                                                                               53.203      34.018     1.882     2.893
SamuraiChamplooOpeningThemeBattlecry1080p.mp4                                                                   53.68       18.551     26.189    22.711
FractalgenerationusingLSystemsProcessing1080p.mp4                                                               54.965      18.131     0.84      2.368
SofiaVergaraChatswithJimmyWhileSuckingHelium1080p.mp4                                                           55.839      16.083     8.675     3.831
CloseEncounterSNL1080p.mp4                                                                                      56.554      10.39      4.999     4.463
GeographyNowCroatia1080p.mp4                                                                                    56.629      20.514     10.313    16.891
AreYouLostInTheWorldLikeMeSteveCutts1080p.mp4                                                                   57.052      26.244     34.599    23.888
TOP10MOSTEPICNBAMOMENTSEVER1080p.mp4                                                                            58.824      27.997     22.624    15.095
GettingOverItSpeedrunin1171080p.mp4                                                                             59.154      6.466      21.894    10.718
AlonsosLightningFirstLap2012AbuDhabiGrandPrix1080p.mp4                                                          59.422      27.106     16.445    7.078
DontstopmenowShazam4kHDR1080p.mp4                                                                               59.969      16.009     12.764    10.095
ChicagoCheerleadersNBADancers1080p.mp4                                                                          60.004      14.891     20.048    9.505
LebronJamesDeepestThrees1080p.mp4                                                                               60.855      16.374     28.222    11.281
WhatsthefastestwaytoalphabetizeyourbookshelfChandJohn1080p.mp4                                                  62.326      40.591     11.877    20.808
StephenCurryANDKevinDurantgetejectedthrewmouthpieceatreferee1080p.mp4                                           63.039      14.772     29.332    13.068
EXITFestival2019TheOfficialAftermovie1080p.mp4                                                                  63.278      31.691     16.49     13.272
ThePiSongMemorize100DigitsOf1080p.mp4                                                                           63.444      36.612     11.781    25.284
NBAWHYAREYOUMADMOMENTS1080p.mp4                                                                                 63.489      21.022     22.968    10.477
MassiveCrowdControlTimmyTrumpetatUNTOLD1080p.mp4                                                                63.855      16.316     17.541    9.996
HowArePS5AndXboxSeriesXSiliconChipsManufactured1080p.mp4                                                        64.229      37.286     11.422    12.792
StephenCurrysSHOCKINGInboundShotOnAccidentWarriorsvsBlazers1080p.mp4                                            64.243      14.574     19.418    14.75
DOUBLEKING1080p.mp4                                                                                             64.465      24.162     10.161    13.85
Bitola4kvideoNovaBitola1080p.mp4                                                                                64.982      11.535     7.725     4.12
OverdoseSocietySteveCuttsSadAnimation1080p.mp4                                                                  65.002      18.818     31.796    18.025
TheSevenPeopleWhoCanTurnOfftheInternet1080p.mp4                                                                 65.542      30.639     16.398    14.329
TheTurningPoint1080p.mp4                                                                                        66.298      40.325     17.165    14.427
150SpeedSpookyScarySkeletonsBeatSaber1080p.mp4                                                                  66.318      12.548     44.224    14.45
QueensOfTheStoneAgeBurnTheWitchOfficialMusicVideo1080p.mp4                                                      67.244      57.815     13.2      16.599
InsideThe5BillionAppleHeadquarters1080p.mp4                                                                     67.504      27.814     11.826    10.655
GiannisAntetokounmpoIsNotHumanTweaksHisKneeThenHustlesBackOnDefenseandDunks1080p.mp4                            69.369      27.036     23.223    14.25
Anytimeisicecreamtime1080p.mp4                                                                                  69.422      21.974     15.748    13.196
1MINUTEAUCOSTARICA1080p.mp4                                                                                     69.941      29.507     21.568    16.377
AlonsoAndHamiltonsEpicBattle2013CanadianGrandPrix1080p.mp4                                                      71.371      20.985     28.704    9.194
SyndraArtSpotlightLeagueofLegends1080p.mp4                                                                      72.324      26.484     8.645     19.511
BeanTimeLapse25daysSoilcrosssection1080p.mp4                                                                    72.476      12.789     3.374     2.871
TheMuffinSongButEveryDieMakesIt1Faster1080p.mp4                                                                 72.984      16.596     9.772     19.946
HowToMakeAnIntroForYouTubeVideosForFREE20201080p.mp4                                                            73.093      20.345     10.695    15.943
RyanNewmanNASCARCrash1080p.mp4                                                                                  74.395      6.795      22.847    8.094
BeatSaberUndertaleDeathbyGlamourbyTobyFox1080p.mp4                                                              74.787      7.619      43.025    18.99
AnimatorvsAnimation2TheChosenOnesReturnAvGReacts1080p.mp4                                                       75.041      16.087     11.06     15.343
Happiness1080p.mp4                                                                                              77.85       40.017     31.278    19.564
AreYouSmarterThanAverage1080p.mp4                                                                               78.688      28.107     6.515     14.502
SeeingThingsinBlackandWhiteSVAAnimatedFilm1080p.mp4                                                             79.165      16.125     8.61      15.776
FluffysFavoriteSuperheroGabrielIglesias1080p.mp4                                                                80.317      18.125     10.842    9.98
asdfmovie31080p.mp4                                                                                             82.078      32.682     25.015    29.473
UCLAgymnastNiaDennisincrediblefloorexerciseshowsoffherpowerandenergy1080p.mp4                                   84.159      13.832     23.749    10.133
MickeyMouseShortsPandamoniumOfficialDisneyUKHD1080p.mp4                                                         84.452      25.224     11.937    19.717
11IN1COMPILATIONOFHIGHSPEEDTRAINSOFINDIANRAILWAYS1080p.mp4                                                      84.524      17.688     23.879    14.793
1000modsLucidOfficialLyricVideo1080p.mp4                                                                        84.933      14.412     8.37      9.848
asdfmovie101080p.mp4                                                                                            85.444      35.925     27.176    28.555
AreBoysSmarterThanGirls1080p.mp4                                                                                85.895      34.964     5.621     14.285
FractalcharmSpacefillingcurves1080p.mp4                                                                         86.741      30.773     3.517     4.264
TacoBot3000Part3oftheRainingTacossagaParryGrippanimationbyBooneBum1080p.mp4                                     89.223      27.687     22.88     21.722
SpongebobSweetVictoryPianoSolo1080p.mp4                                                                         93.485      27.114     16.082    4.266
asdfmovie81080p.mp4                                                                                             96.012      27.609     30.994    35.163
WhyAreYouSingle1080p.mp4                                                                                        97.254      32.792     8.187     16.434
MAN1080p.mp4                                                                                                    99.288      18.195     21.22     15.484
LukaDoncicShocksMavsCrowdAfterTakingOverInFinalMinutesMavericksvsPistons1080p.mp4                               99.431      17.633     28.227    7.523
asdfmovie71080p.mp4                                                                                             99.921      27.053     25.792    28.935
